ç
Nome,Designação,Bairro,Artes Cênicas,Artes Industriais,Artes Plasticas,Ciências,Educação Física,Educação Musical,Educação Para O Lar,Espanhol,Francês,Geografia,História,Inglês,Língua Portuguesa,Matemática,Técnicas Agrícolas,Técnicas Comerciais,Educação Infantil,Ensino Fundamental,Ensino Religioso,Professor II,Séries Atendidas,Latitude,Longitude
TIRADENTES,"0102002",Centro,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,1,0,19,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Aceleração 1/Realfabetização 1,"-22.9074365580367","-43.1849266008343"
RIVADAVIA CORREA,"0102004",Centro,0,0,1,3,1,0,0,1,0,1,1,0,3,2,0,0,0,9,0,3,7º Ano/8º Ano/9º Ano/Classe Especial,"-22.9032845187161","-43.187678140143"
CALOUSTE GULBENKIAN,"0102005",Cidade Nova,2,0,0,5,5,0,0,5,0,5,5,3,6,4,0,0,0,4,0,13,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Realfabetização 1/Realfabetização 2,"-22.9089013715803","-43.1958005918403"
GUATEMALA,"0102006",Bairro de  Fátima,1,0,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0,2,0,21,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola/Realfabetização 1,"-22.9176919753955","-43.1879935341589"
ORLANDO VILLAS BOAS,"0102007",Cidade Nova,2,0,2,6,5,1,0,1,0,4,4,4,9,8,0,0,0,2,0,9,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2,"-22.9162231592421","-43.1856179424146"
TIA CIATA,"0102501",Praça Onze,0,0,1,0,4,2,0,0,0,0,1,2,0,0,0,0,0,1,0,30,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Classe Especial,"-22.9066378278522","-43.1946952667565"
AVENIDA DOS DESFILES I,"0102502",Cidade Nova,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,Pré-Escola,"-22.9117079423952","-43.1958194688549"
AVENIDA DOS DESFILES II,"0102503",Cidade Nova,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Pré-Escola,"-22.9107274479743","-43.1961348484488"
CEM AV. DOS DESFILES - 5ª/8ª,"0102504",Cidade Nova,0,0,0,1,1,0,0,0,0,1,3,0,3,1,0,0,0,0,0,7,PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,"-22.9092059611947","-43.1965528603487"
JOSE PEDRO VARELA,"0102505",Centro,0,0,2,2,7,1,0,0,0,0,3,1,2,2,0,0,0,26,2,25,1º Ano/2º Ano/3º Ano/Creche/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.9106954610964","-43.1817374817261"
SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,"0102601",Estácio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,Creche,"-22.9184920603856","-43.2025857779837"
ANA MARIA DA CRUZ SILVA,"0102602",Cidade Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,Creche,"-22.9118094471538","-43.1964049630428"
ARCO IRIS,"0102604",Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche,"-22.9103086916971","-43.1813328783539"
ALDEIA DOS CURUMINS,"0102605",Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,Creche,"-22.9161835222413","-43.1854298401433"
GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,"0102606",Centro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,Creche,"-22.9064124684764","-43.1932648467771"
CAMPOS SALLES,"0102802",Centro,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Creche/Pré-Escola,"-22.9035393","-43.2095869"
RACHEL DE QUEIROZ,"0102803",Praça Onze,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,Creche/Pré-Escola,"-22.9069041","-43.1947339"
ESTADOS UNIDOS,"0103001",Catumbi,2,0,3,5,6,2,0,0,1,3,3,5,6,5,0,0,0,4,0,16,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Classe Especial/Pré-Escola/Realfabetização 1/Realfabetização 2,"-22.9211935383089","-43.1956669063003"
MEM DE SA,"0103003",Rio Comprido,2,0,3,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,17,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola,"-22.9236162514252","-43.2040045134899"
PEREIRA PASSOS,"0103004",Rio Comprido,2,0,3,2,4,0,0,1,1,6,8,2,7,3,0,1,0,2,0,10,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3,"-22.9239267122474","-43.2082055104953"
MARIO CLAUDIO,"0103005",Rio Comprido,2,0,1,4,7,1,0,1,1,2,2,4,7,4,0,1,0,3,0,11,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Classe Especial/PROJOVEM/Pré-Escola/Realfabetização 1/Realfabetização 2,"-22.9167469304237","-43.2106706970244"
JENNY GOMES,"0103006",Rio Comprido,0,0,4,4,6,0,0,2,0,4,4,3,7,3,0,0,0,3,0,10,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/PROJOVEM/Realfabetização 1,"-22.9225513645341","-43.2098530619502"
C.C. DO CATUMBI,"0103501",Catumbi,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,9,0,5,1º Ano/2º Ano/3º Ano,"-22.9154418427914","-43.194340491527"
CANADA,"0103502",Estácio,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,7,1,5,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano,"-22.9149926421509","-43.2039415514451"
ESPAÇO LIVRE DA CRIANÇA,"0103601",Estácio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,Creche,"-22.9156311563595","-43.202980350768"
DIREITOS HUMANOS,"0103602",Rio Comprido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche,"-22.9308512832037","-43.2008593497981"
SONHO INFANTIL,"0103604",Rio Comprido - Turano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Creche,"-22.9266696866283","-43.2140083291214"
BRINCADEIRAS DE CRIANÇA,"0103605",Rio Comprido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche,"-22.9184431929778","-43.1976370641059"
CAMPOS DA PAZ,"0103606",Rio Comprido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,Creche,"-22.9219752632449","-43.2036315850338"
ESTÁCIO DE SÁ,"0103607",Estácio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,Creche,"-22.9134882892084","-43.2035131769771"
PROFESSORA SIMONE SOUSA PIMENTEL,"0103801",Rio Comprido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,Creche,"-22.9271479616518","-43.2128786471977"
LILY MARINHO,"0103802",Catumbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,Creche,"-22.9185157350977","-43.1929941285362"
ZÉLIA GATTAI AMADO,"0103804",Rio Comprido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Creche/Pré-Escola,"-22.9263809162689","-43.2005606502707"
BEATRIZ VICÊNCIA BANDEIRA RIFF,"0103805",Estácio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche/PIC/Pré-Escola,"-22.919180","-43.205011"
FUNDAÇÃO LEÃO XIII,"0103806",Estácio,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Pré-Escola,"-22.917687","-43.203565"
MARIA LUIZA NOBRE - TIA LUIZINHA,"0103807",Catumbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Creche/Pré-Escola,"-22.922011","-43.197133"
GONCALVES DIAS,"0107001",São Cristóvão,0,0,2,5,5,1,0,1,1,4,9,5,10,7,0,0,1,5,0,5,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.8987277158743","-43.219860070421"
NILO PECANHA,"0107002",São Cristóvão,0,0,1,4,5,0,0,0,0,2,2,3,4,2,0,0,0,1,0,4,7º Ano/8º Ano/9º Ano,"-22.9039219385331","-43.2192935784618"
PORTUGAL,"0107003",São Cristóvão,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,"-22.9021070913703","-43.2247749353967"
FLORIANO PEIXOTO,"0107004",São Cristóvão,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.897143259115","-43.2270827507921"
JOAO DE CAMARGO,"0107005",Vasco da Gama,1,0,3,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/PEJA I - Bloco 1/PEJA I - Bloco 2/Pré-Escola,"-22.8897871213806","-43.2297167357242"
MARECHAL TROMPOWSKY,"0107006",São Cristóvão,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,18,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola/Realfabetização 1,"-22.9074665273472","-43.2311092630709"
HUMBERTO DE CAMPOS,"0107007",Mangueira,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.9038478798387","-43.238431331007"
JOSE MOREIRA DA SILVA,"0107008",São Cristóvão,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.9029977315174","-43.2349295957036"
URUGUAI,"0107009",São Cristóvão,0,0,1,6,6,1,0,1,0,7,9,4,11,6,0,0,0,3,0,6,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 3/Pré-Escola/Realfabetização 2,"-22.8980022880582","-43.2373821023225"
CARDEAL LEME,"0107011",Benfica,2,0,3,4,6,3,0,1,1,6,7,7,5,4,0,0,0,7,0,18,3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/Classe Especial/Realfabetização 1/Realfabetização 2,"-22.8887294775152","-43.235365468315"
GONZAGA DA GAMA FILHO,"0107012",Benfica,1,0,1,1,5,2,0,0,0,0,1,5,2,3,0,0,0,1,0,25,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.8971927314562","-43.23736697437"
ALICE DO AMARAL PEIXOTO,"0107013",Benfica,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,3,0,19,1º Ano/2º Ano/3º Ano/Creche/Pré-Escola,"-22.8890887231893","-43.2358282860043"
DOIS DE JULHO,"0107014",São Cristóvão,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.8910217236123","-43.2327004480945"
JOSUÉ DE SOUSA MONTELLO,"0107016",,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Aceleração 1/Pré-Escola/Realfabetização 1,"",""
EDMUNDO BITTENCOURT,"0107501",São Cristóvão,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,7,4º Ano/5º Ano/6º Ano,"-22.8917212953133","-43.2335209353163"
MESTRE WALDEMIRO,"0107502",São Cristóvão,0,0,3,0,4,0,0,0,0,0,0,1,1,0,0,0,0,13,0,16,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola/Realfabetização 1,"-22.9059578037195","-43.2287555210218"
ADALBERTO ISMAEL DE SOUZA,"0107601",São Cristóvão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,Creche,"-22.9077825391184","-43.231100262602"
DEPUTADO LUIZ EDUARDO DE MAGALHÃES,"0107602",São Cristóvão - Tuiuti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,Creche/PIC,"-22.897973226641","-43.2353248759872"
VOVÓ LUCÍOLA,"0107603",Mangueira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,Creche,"-22.902226810866","-43.2404874831467"
HOMERO JOSÉ DOS SANTOS,"0107604",Mangueira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche/PIC,"-22.9028172824263","-43.2361544683728"
EDUARDO MOREIRA DOS SANTOS,"0107605",Mangueira - Morro dos Telégrafos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,Creche,"-22.9021936871572","-43.2354833346789"
FRANCISCO ALVES,"0107606",Vasco da Gama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,Creche,"-22.8892601233585","-43.229686556873"
NAÇÃO MANGUEIRENSE,"0107607",Mangueira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche,"-22.9048681827014","-43.2391045696373"
SAMORA MACHEL,"0107608",Benfica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,Creche,"-22.8836770493449","-43.2482939230162"
VASQUINHO,"0107609",São Cristóvão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,Creche,"-22.8859463266345","-43.2270593103192"
ARARA AZUL,"0107610",Benfica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,Creche/PIC,"-22.8887614534441","-43.2417365299889"
PROFESSORA DAYSE MALAGOLE,"0107801",Vasco da Gama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,Creche/PIC,"-22.8902626548725","-43.2304535070159"
MORRO DOS TELÉGRAFOS,"0107802",São Cristóvão,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,9,Creche/Pré-Escola,"-22.9035393","-43.2095869"
JOAQUIM MANUEL MACEDO,"0121001",Paquetá,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,5,0,15,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Creche/Pré-Escola,"-22.7526659415809","-43.1091622092295"
PEDRO BRUNO,"0121002",Paquetá,0,0,2,4,1,0,0,0,0,2,2,1,4,1,0,0,0,2,0,2,6º Ano/7º Ano/8º Ano/9º Ano,"-22.7530400599257","-43.1094459232582"
MACHADO DE ASSIS,"0123001",Santa Teresa,1,0,0,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,15,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.9176684933732","-43.1817360135543"
SANTA CATARINA,"0123002",Santa Teresa,0,0,2,2,4,0,0,0,0,2,4,2,4,3,0,0,0,0,0,8,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3,"-22.9150492727148","-43.1912144262656"
JULIA LOPES DE ALMEIDA,"0123003",Santa Teresa,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,5,2,8,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano,"-22.9360655489485","-43.2038836230346"
GEO JUAN ANTONIO SAMARANCH,"0123004",Santa Tereza,0,0,1,1,7,0,0,0,0,0,0,1,1,0,0,0,0,17,0,2,6º Ano/7º Ano/8º Ano/9º Ano,"-22.9305684686617","-43.1982073854288"
JOSÉ MARINHO DE OLIVEIRA,"0123601",Santa Teresa - Morro dos Prazeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,Creche,"-22.9344262812593","-43.2021285481974"
FALLET,"0123603",Santa Teresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,Creche,"-22.9267495246586","-43.1953828807236"
HELOÍSA MARINHO,"0123801",Santa Teresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Creche/Pré-Escola,"-22.929448","-43.194984"
DEODORO,"0204001",Glória,1,0,3,3,4,1,0,1,0,6,4,2,9,4,0,0,0,1,0,2,6º Ano/7º Ano/8º Ano/9º Ano,"-22.9172296633089","-43.1767871884838"
MARIA LEOPOLDINA,"0204002",Glória,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola,"-22.9223974545442","-43.1814008573694"
ALBERTO BARTH,"0204003",Flamengo,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.9402254824463","-43.1760972409158"
EDUCANDÁRIO ROMÃO DE MATTOS DUARTE,"0204004",Flamengo,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,10,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,"-22.9360682963787","-43.1784551017053"
JOSE DE ALENCAR,"0204005",Laranjeiras,1,0,2,4,5,2,0,1,0,4,6,2,8,6,0,0,0,0,0,4,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3,"-22.9366358020104","-43.1894957920167"
ANNE FRANK,"0204006",Laranjeiras,1,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.9383325027274","-43.1829933457956"
ALBERT SCHWEITZER,"0204007",Laranjeiras,1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola/Realfabetização 1,"-22.939771979764","-43.1914070929451"
VITAL BRASIL,"0204008",Catete,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,14,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola/Realfabetização 1,"-22.9251205399771","-43.1756915162007"
GUARARAPES CÂNDIDO,"0204009",Cosme Velho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.9432669099434","-43.2038950236739"
FRANCISCO ALVES,"0204010",Botafogo,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/Pré-Escola,"-22.953498195154","-43.1817496845009"
JOAQUIM NABUCO,"0204011",Botafogo,1,0,0,2,3,2,0,1,0,3,3,1,4,4,0,0,0,1,0,2,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Realfabetização 2,"-22.9539202068428","-43.1877803398733"
MEXICO,"0204012",Botafogo,2,0,1,0,2,0,0,0,0,1,0,1,1,1,0,0,0,3,0,20,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.9522197680698","-43.1913872798881"
PRESIDENTE ARTHUR DA COSTA E SILVA,"0204014",Botafogo,1,1,1,3,7,2,1,1,0,3,6,2,5,4,0,2,0,8,0,4,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Classe Especial,"-22.9450719207744","-43.1862176860333"
JOAO SALDANHA,"0204015",Botafogo,0,0,0,3,1,3,0,1,0,2,4,2,3,4,0,0,0,2,0,1,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Classe Especial,"-22.9532930026425","-43.1812459470876"
JOAQUIM ABILIO BORGES,"0204017",Humaitá,0,0,3,4,3,1,0,1,0,3,5,1,4,5,0,0,0,1,0,1,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano,"-22.953756072272","-43.1964408141446"
ESTACIO DE SA,"0204018",Urca,0,0,2,4,3,1,0,0,0,1,2,2,2,2,0,0,0,2,0,10,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano,"-22.9456204760474","-43.1570176451542"
